model,sparsity,accuracy,precision,recall,f1,num_test_samples,trainable_parameters,non_trainable_parameters,total_parameters,model_size_bytes,model_size_mb,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,throughput_images_per_second
baseline,,0.9455040871934605,0.946054380891139,0.9455040871934605,0.9456213006211419,367,2230277,34112,2264389,27534795,26.25922679901123,529.5931059998838,3.9327838913783797,528.9082499984943,537.5101149991679,60.364787125010565
pruning_10%,0.09791100670939465,0.9455040871934605,0.9472095472035076,0.9455040871934605,0.9456912567752331,367,2230277,34112,2264389,9568794,9.125513076782227,560.7937679996394,18.97570636825762,555.0139500046498,597.823949998201,55.66675124417705
pruning_20%,0.1958252968194167,0.896457765667575,0.9118368056250842,0.896457765667575,0.8979155120979843,367,2230277,34112,2264389,9568794,9.125513076782227,599.2205809998268,34.225126006695696,588.9470000001893,656.8475550022413,55.06099113731855
pruning_30%,0.29373630352881136,0.6648501362397821,0.8284589969070677,0.6648501362397821,0.6504477743906505,367,2230277,34112,2264389,9568794,9.125513076782227,570.9543989999656,19.22002540570485,561.9334499970137,611.7297500040877,53.42552709416638
pruning_40%,0.3916487174099035,0.7166212534059946,0.7558496606954033,0.7166212534059946,0.7185523634215037,367,2230277,34112,2264389,9568794,9.125513076782227,564.1640130003361,15.131247335837438,557.103899998765,595.0063150015922,52.660528899908115
pruning_50%,0.48955925506206566,0.3133514986376022,0.3650881902271863,0.3133514986376022,0.2571485794279739,367,2230277,34112,2264389,9568794,9.125513076782227,607.1671659997082,37.25267531549225,597.8017499983252,669.8884699948394,54.62663894917796
structured_pruning_2_4,0.49993245575852185,0.1771117166212534,0.03136856016452717,0.1771117166212534,0.05329750731658089,367,2230277,34112,2264389,9568794,9.125513076782227,597.6468890002434,33.79175092455567,592.7999999985332,664.0781250000146,52.55475012627691
fp16,,0.9455040871934605,0.946054380891139,0.9455040871934605,0.9456213006211419,367,,,11472758,4476400,4.2690277099609375,8.073421999797574,0.8102118165667337,7.935300003737211,9.010209996267804,122.49089647650439
int8,,0.9482288828337875,0.948505127932921,0.9482288828337875,0.9482805293367986,367,,,9259537,2710216,2.5846633911132812,10.136148999663419,0.17508947687703216,10.089949999382952,10.525725000479724,98.34466263835719
